,date,open,high,low,close,volume
596,2021-10-06,2614.74,2681.39,2614.52,2681.11,4500660000.0
597,2021-10-10,2687.19,2720.36,2654.35,2662.58,4498040000.0
598,2021-10-11,2667.59,2670.34,2616.4,2639.38,3639470000.0
599,2021-10-17,2644.42,2670.34,2616.4,2656.97,1497380000.0
600,2021-10-18,2656.04,2656.04,2582.26,2587.45,2966900000.0
601,2021-10-19,2588.24,2588.37,2481.85,2510.73,3777790000.0
602,2021-10-20,2522.2,2590.89,2522.0,2571.66,2679030000.0
603,2021-10-21,2573.05,2585.79,2542.65,2556.96,2635390000.0
604,2021-10-24,2557.0,2587.85,2545.5,2584.53,2773420000.0
605,2021-10-25,2588.75,2672.25,2588.24,2672.25,4308900000.0
606,2021-10-26,2678.86,2751.41,2678.01,2751.07,6318340000.0
607,2021-10-27,2753.4,2806.71,2716.99,2769.13,6612650000.0
608,2021-10-28,2768.88,2783.77,2746.23,2782.17,5395270000.0
609,2021-10-31,2785.95,2838.09,2775.54,2837.62,7823230000.0
610,2021-11-01,2852.32,2866.44,2804.31,2819.87,7777510000.0
611,2021-11-02,2824.83,2845.89,2789.2,2843.62,6073720000.0
612,2021-11-03,2858.74,2878.2,2837.59,2848.84,6553060000.0
613,2021-11-08,2854.38,2863.8,2821.64,2829.65,4420720000.0
614,2021-11-09,2831.0,2833.05,2730.21,2749.86,6527730000.0
615,2021-11-11,2750.03,2750.28,2687.68,2690.29,5119600000.0
616,2021-11-14,2694.05,2704.47,2667.34,2688.92,4096220000.0
617,2021-11-15,2688.06,2728.91,2685.67,2715.35,4734650000.0
618,2021-11-16,2720.59,2784.63,2716.0,2784.58,5521650000.0
619,2021-11-17,2795.19,2825.98,2795.19,2801.52,7379450000.0
620,2021-11-18,2806.13,2810.64,2760.2,2769.13,6271870000.0
621,2021-11-21,2771.76,2780.04,2749.83,2757.53,4357310000.0
622,2021-11-22,2758.99,2778.28,2758.64,2765.44,3929260000.0
623,2021-11-23,2765.68,2765.68,2719.99,2733.14,4165900000.0
624,2021-11-24,2737.09,2743.22,2694.06,2735.01,4217420000.0
625,2021-11-25,2736.85,2746.55,2720.84,2731.78,3789710000.0
626,2021-11-28,2731.78,2733.35,2644.6,2651.49,5835130000.0
627,2021-11-29,2650.54,2677.87,2621.8,2629.98,4008940000.0
628,2021-11-30,2630.32,2648.04,2603.9,2628.37,3089040000.0
629,2021-12-01,2628.69,2649.99,2628.48,2633.66,2742090000.0
630,2021-12-02,2633.64,2645.57,2580.6,2584.61,3413590000.0
631,2021-12-05,2586.83,2587.57,2504.69,2513.89,4090770000.0
632,2021-12-06,2508.96,2549.5,2438.86,2546.09,4542350000.0
633,2021-12-07,2549.36,2590.76,2505.86,2508.91,3128340000.0
634,2021-12-08,2508.29,2511.69,2448.78,2455.81,2663910000.0
635,2021-12-09,2454.42,2465.08,2428.33,2449.97,2673310000.0
636,2021-12-12,2448.66,2455.72,2359.95,2361.27,3382510000.0
637,2021-12-13,2351.93,2351.93,2259.51,2282.01,3995600000.0
